protocol,cert_acc,false_cert,false_reject,shortcut_pass,robust_pass,coverage_recall,probe_cost,utility,weight
static,0.474698,0.485573,0.039729,0.264037,0.073167,0.050000,0.020000,-0.251703,43200
rand,0.586599,0.371484,0.041917,0.195797,0.071417,0.291467,0.070000,-0.014182,43200
single,0.559673,0.398446,0.041881,0.212434,0.071423,0.303918,0.140000,-0.082948,43200
portfolio,0.644636,0.315033,0.040331,0.162167,0.072775,0.400168,0.240000,0.097952,43200
calib,0.932548,0.031508,0.035944,0.003056,0.076996,0.680137,0.289721,0.775046,43200
search,0.862181,0.089443,0.048376,0.028705,0.066162,0.652718,0.581415,0.570446,43200
oracle,0.941558,0.031818,0.026624,0.002533,0.085007,0.930876,0.100000,0.885563,43200
